Global Land Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Date,Anomaly
185001,-1.23
185002,-0.86
185003,-0.72
185004,-0.77
185005,-0.77
185006,-0.69
185007,-0.59
185008,-0.50
185009,-0.46
185010,-0.51
185011,-0.52
185012,-0.48
185101,-0.51
185102,-0.32
185103,-0.43
185104,-0.50
185105,-0.50
185106,-0.46
185107,-0.38
185108,-0.32
185109,-0.29
185110,-0.26
185111,-0.29
185112,-0.29
185201,0.04
185202,-0.23
185203,-0.48
185204,-0.53
185205,-0.49
185206,-0.39
185207,-0.33
185208,-0.27
185209,-0.23
185210,-0.23
185211,-0.24
185212,-0.24
185301,-0.59
185302,-0.69
185303,-0.73
185304,-0.75
185305,-0.65
185306,-0.57
185307,-0.46
185308,-0.41
185309,-0.38
185310,-0.38
185311,-0.38
185312,-0.36
185401,-0.67
185402,-0.56
185403,-0.42
185404,-0.40
185405,-0.39
185406,-0.34
185407,-0.28
185408,-0.25
185409,-0.25
185410,-0.22
185411,-0.19
185412,-0.17
185501,-0.18
185502,-0.22
185503,-0.20
185504,-0.20
185505,-0.20
185506,-0.18
185507,-0.20
185508,-0.20
185509,-0.22
185510,-0.22
185511,-0.25
185512,-0.27
185601,0.42
185602,0.19
185603,0.03
185604,-0.11
185605,-0.20
185606,-0.18
185607,-0.19
185608,-0.24
185609,-0.26
185610,-0.31
185611,-0.30
185612,-0.26
185701,-0.01
185702,-0.31
185703,-0.20
185704,-0.25
185705,-0.33
185706,-0.32
185707,-0.31
185708,-0.31
185709,-0.33
185710,-0.35
185711,-0.35
185712,-0.29
185801,-0.15
185802,-0.25
185803,-0.23
185804,-0.24
185805,-0.34
185806,-0.33
185807,-0.32
185808,-0.31
185809,-0.34
185810,-0.33
185811,-0.35
185812,-0.37
185901,-0.41
185902,-0.31
185903,-0.22
185904,-0.18
185905,-0.14
185906,-0.13
185907,-0.18
185908,-0.17
185909,-0.21
185910,-0.24
185911,-0.24
185912,-0.21
186001,-0.61
186002,-0.68
186003,-0.73
186004,-0.67
186005,-0.67
186006,-0.61
186007,-0.59
186008,-0.55
186009,-0.55
186010,-0.56
186011,-0.56
186012,-0.61
186101,-1.25
186102,-1.12
186103,-0.83
186104,-0.80
186105,-0.80
186106,-0.74
186107,-0.68
186108,-0.65
186109,-0.64
186110,-0.66
186111,-0.62
186112,-0.62
186201,-0.98
186202,-1.01
186203,-0.94
186204,-0.93
186205,-0.90
186206,-0.82
186207,-0.78
186208,-0.74
186209,-0.74
186210,-0.76
186211,-0.75
186212,-0.79
186301,-0.18
186302,-0.41
186303,-0.37
186304,-0.34
186305,-0.39
186306,-0.38
186307,-0.41
186308,-0.43
186309,-0.47
186310,-0.51
186311,-0.50
186312,-0.52
186401,-0.84
186402,-0.65
186403,-0.57
186404,-0.56
186405,-0.51
186406,-0.45
186407,-0.43
186408,-0.46
186409,-0.48
186410,-0.52
186411,-0.54
186412,-0.60
186501,0.31
186502,-0.23
186503,-0.42
186504,-0.54
186505,-0.57
186506,-0.51
186507,-0.47
186508,-0.43
186509,-0.41
186510,-0.41
186511,-0.39
186512,-0.39
186601,-0.23
186602,-0.27
186603,-0.43
186604,-0.47
186605,-0.49
186606,-0.50
186607,-0.47
186608,-0.48
186609,-0.46
186610,-0.48
186611,-0.50
186612,-0.46
186701,-0.46
186702,-0.74
186703,-0.79
186704,-0.89
186705,-0.93
186706,-0.83
186707,-0.78
186708,-0.71
186709,-0.67
186710,-0.65
186711,-0.60
186712,-0.56
186801,-0.63
186802,-0.61
186803,-0.51
186804,-0.55
186805,-0.55
186806,-0.51
186807,-0.49
186808,-0.44
186809,-0.41
186810,-0.40
186811,-0.47
186812,-0.45
186901,-0.04
186902,0.15
186903,0.04
186904,-0.09
186905,-0.12
186906,-0.15
186907,-0.17
186908,-0.17
186909,-0.19
186910,-0.22
186911,-0.21
186912,-0.23
187001,-0.81
187002,-0.93
187003,-0.81
187004,-0.79
187005,-0.71
187006,-0.58
187007,-0.51
187008,-0.46
187009,-0.44
187010,-0.46
187011,-0.49
187012,-0.53
187101,-0.96
187102,-0.96
187103,-0.70
187104,-0.59
187105,-0.59
187106,-0.52
187107,-0.48
187108,-0.45
187109,-0.46
